Date,Open,High,Low,Close,Adj Close,Volume
1991-04-03,988.05,988.05,988.05,988.05,988.05,100.0
1991-04-04,983.11,983.11,983.11,983.11,983.11,52300.0
1991-04-05,978.27,978.27,978.27,978.27,978.27,10700.0
1991-04-08,968.57,968.57,968.57,968.57,968.57,5700.0
1991-04-09,963.73,963.73,963.73,963.73,963.73,1900.0
1991-04-10,958.88,958.88,958.88,958.88,958.88,4500.0
1991-04-11,954.03,954.03,954.03,954.03,954.03,4500.0
1991-04-12,949.31,949.31,949.31,949.31,949.31,6800.0
1991-04-15,939.98,939.98,939.98,939.98,939.98,5000.0
1991-04-16,935.38,935.38,935.38,935.38,935.38,2200.0
1991-04-17,930.78,930.78,930.78,930.78,930.78,2100.0
1991-04-18,926.18,926.18,926.18,926.18,926.18,1400.0
1991-04-19,921.58,921.58,921.58,921.58,921.58,1700.0
1991-04-22,912.38,912.38,912.38,912.38,912.38,100.0
1991-04-23,907.78,907.78,907.78,907.78,907.78,4800.0
1991-04-24,903.31,903.31,903.31,903.31,903.31,4600.0
1991-04-25,898.84,898.84,898.84,898.84,898.84,5000.0
1991-04-26,894.36,894.36,894.36,894.36,894.36,5300.0
1991-04-29,885.43,885.43,885.43,885.43,885.43,4900.0
1991-04-30,880.98,880.98,880.98,880.98,880.98,14200.0
1991-05-02,876.57,876.57,876.57,876.57,876.57,7200.0
1991-05-03,872.16,872.16,872.16,872.16,872.16,7800.0
1991-05-06,863.35,863.35,863.35,863.35,863.35,12400.0
1991-05-07,859.06,859.06,859.06,859.06,859.06,10200.0
1991-05-08,854.78,854.78,854.78,854.78,854.78,30900.0
1991-05-09,850.5,850.5,850.5,850.5,850.5,45000.0
1991-05-10,846.22,846.22,846.22,846.22,846.22,70000.0
1991-05-13,837.66,837.66,837.66,837.66,837.66,155400.0
1991-05-14,834.44,835.01,833.38,835.01,835.01,316000.0
1991-05-15,832.36,832.54,832.36,832.54,832.54,395700.0
1991-05-16,830.06,830.06,830.06,830.06,830.06,591800.0
1991-05-17,827.72,827.72,827.72,827.72,827.72,901400.0
1991-05-20,822.67,822.67,822.67,822.67,822.67,563100.0
1991-05-21,820.15,820.15,820.15,820.15,820.15,370800.0
1991-05-22,817.63,817.63,817.63,817.63,817.63,453300.0
1991-05-23,814.16,815.22,813.59,813.59,813.59,326700.0
1991-05-24,809.56,809.56,809.56,809.56,809.56,100800.0
1991-05-27,801.48,801.48,801.48,801.48,801.48,132000.0
1991-05-28,797.98,797.98,797.98,797.98,797.98,17800.0
1991-05-29,794.61,794.61,794.61,794.61,794.61,13600.0
1991-05-30,791.23,791.23,791.23,791.23,791.23,20400.0
1991-05-31,787.85,787.85,787.85,787.85,787.85,8100.0
1991-06-03,781.1,781.1,781.1,781.1,781.1,25700.0
1991-06-04,777.72,777.72,777.72,777.72,777.72,80100.0
1991-06-05,774.35,774.35,774.35,774.35,774.35,165000.0
1991-06-06,771.26,771.26,771.26,771.26,771.26,2400.0
1991-06-07,768.16,768.16,768.16,768.16,768.16,10600.0
1991-06-10,754.25,754.25,733.65,733.65,733.65,16500.0
1991-06-11,733.7,756.51,732.23,756.51,756.51,98700.0
1991-06-12,755.26,758.21,751.41,753.06,753.06,190500.0
1991-06-13,751.07,751.07,745.92,745.92,745.92,238900.0
1991-06-14,743.2,743.2,734.2,735.67,735.67,236200.0
1991-06-17,716.99,721.18,715.14,721.0,721.0,210000.0
1991-06-18,717.13,721.94,716.4,721.21,721.21,148500.0
1991-06-19,717.71,721.37,715.88,717.33,717.33,231200.0
1991-06-20,714.18,714.18,707.56,710.12,710.12,225000.0
1991-06-21,706.97,707.35,703.66,704.41,704.41,180200.0
1991-06-24,694.2,696.76,687.18,689.79,689.79,276500.0
1991-06-25,685.3,691.55,684.93,690.09,690.09,618300.0
1991-06-26,686.21,695.28,683.89,693.96,693.96,656600.0
1991-06-27,690.66,697.46,687.67,694.9,694.9,864900.0
1991-06-28,691.45,693.37,686.53,691.41,691.41,1064300.0
1991-07-01,685.65,687.48,680.83,684.01,684.01,979000.0
